Image name,IoU - raw result [%],IoU - post-processed result [%],Objects (> 1% total area),Roof area [m^2] - mapped,Roof area [m^2] - raw result,Roof area [m^2] - post-processed result,Solar panels estimation - mapped,Solar panels estimation - raw result,Solar panels estimation - post-processed result
patch_41_83.png,91.87,91.87,2.0,4237.18,4106.6900000000005,4113.32,2354.0,2281.0,2285.0
patch_65_10.png,76.06,76.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_6_35.png,57.51,57.3,1.0,885.08,838.89,839.33,492.0,466.0,466.0
patch_32_93.png,89.53,89.55,6.0,3841.13,3879.23,3885.0000000000005,2134.0,2155.0,2158.0
patch_17_58.png,75.15,75.85,1.0,645.92,652.98,656.45,359.0,363.0,365.0
patch_6_49.png,57.48,57.72,2.0,929.54,1153.54,1162.78,516.0,641.0,645.0
patch_69_21.png,88.45,88.41,1.0,906.88,916.25,916.54,504.0,509.0,509.0
patch_15_54.png,77.9,78.04,2.0,1346.38,1401.23,1406.58,748.0,778.0,781.0
patch_21_97.png,57.17,57.24,1.0,298.2,227.61,227.91,166.0,126.0,127.0
patch_62_90.png,55.27,55.46,1.0,681.85,591.65,593.38,379.0,329.0,330.0
patch_28_89.png,84.28,84.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_46_86.png,42.05,41.62,2.0,831.6700000000001,1481.04,1492.02,462.0,823.0,829.0
patch_34_6.png,73.61,73.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_79_78.png,57.68,57.2,1.0,349.74,409.78,415.69,194.0,228.0,231.0
patch_16_54.png,82.64,82.42,3.0,2188.73,2140.1,2141.8199999999997,1216.0,1190.0,1190.0
patch_31_91.png,80.96,80.92,5.0,2473.9500000000003,2285.0099999999998,2290.2099999999996,1373.0,1269.0,1272.0
patch_44_8.png,81.7,81.7,3.0,2291.8,2220.9300000000003,2226.55,1273.0,1233.0,1236.0
patch_7_87.png,80.25,80.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_0_42.png,56.81,56.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_55_13.png,21.46,22.13,2.0,789.24,306.43,328.08,439.0,170.0,182.0
patch_67_11.png,88.54,88.47,1.0,1120.64,998.53,1000.69,623.0,555.0,556.0
patch_26_90.png,55.6,55.94,3.0,1537.5,1286.9099999999999,1292.1200000000001,854.0,715.0,718.0
patch_28_85.png,74.82,74.79,2.0,1271.6100000000001,1700.4299999999998,1709.1100000000001,707.0,945.0,950.0
patch_73_22.png,92.33,92.29,1.0,537.07,566.82,566.96,298.0,315.0,315.0
patch_21_89.png,83.8,83.45,1.0,377.45,343.52,343.96,210.0,191.0,191.0
patch_59_90.png,82.78,82.79,3.0,1524.49,1529.1000000000001,1531.58,847.0,850.0,851.0
patch_7_51.png,67.38,66.94,3.0,1236.24,1668.7,1678.51,687.0,927.0,933.0
patch_42_84.png,84.01,84.02,1.0,1719.06,1488.99,1489.43,955.0,827.0,827.0
patch_45_77.png,70.37,69.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_24_3.png,48.64,48.45,1.0,512.25,410.63,410.93,285.0,228.0,228.0
patch_64_71.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_52_85.png,84.23,84.08,1.0,392.16,417.29,418.44,218.0,232.0,232.0
patch_36_7.png,73.54,74.05,2.0,1309.14,1429.66,1437.6,727.0,794.0,799.0
patch_72_13.png,90.82,89.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_19_4.png,77.27,77.56,3.0,1640.68,1528.54,1541.53,912.0,850.0,857.0
patch_37_7.png,74.74,74.56,1.0,795.3,729.33,730.49,442.0,405.0,406.0
patch_49_84.png,61.93,61.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_21_53.png,76.73,76.93,2.0,1054.24,1057.7,1060.5900000000001,586.0,588.0,589.0
patch_11_2.png,83.04,82.82,4.0,2785.8599999999997,2840.71,2853.41,1548.0,1578.0,1585.0
patch_23_87.png,70.19,69.99,4.0,1472.09,1736.23,1743.31,818.0,964.0,969.0
patch_40_83.png,89.54,89.32,1.0,522.21,537.07,538.23,290.0,298.0,299.0
patch_56_81.png,83.99,83.99,1.0,358.67,391.44,391.44,199.0,217.0,217.0
patch_81_19.png,60.03,59.8,1.0,375.14,492.62,502.73,208.0,274.0,279.0
patch_48_75.png,88.77,89.03,1.0,645.77,660.05,666.7,359.0,367.0,370.0
patch_6_57.png,5.19,7.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_47_84.png,78.35,78.16,6.0,4393.7699999999995,4695.28,4860.2699999999995,2440.0,2608.0,2701.0
patch_24_93.png,39.89,39.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_87_18.png,56.5,56.82,1.0,600.16,341.21,343.66,333.0,190.0,191.0
patch_50_79.png,92.78,92.78,1.0,620.51,574.02,574.02,345.0,319.0,319.0
patch_81_15.png,85.24,85.34,1.0,623.54,547.47,549.5,346.0,304.0,305.0
patch_33_92.png,82.36,82.38,4.0,2308.8199999999997,2162.3199999999997,2169.26,1283.0,1202.0,1206.0
patch_39_81.png,71.46,71.42,1.0,689.36,710.58,710.86,383.0,395.0,395.0
patch_43_12.png,79.94,80.07,4.0,1736.3899999999999,1794.83,1802.48,965.0,997.0,1001.0
patch_33_6.png,92.16,91.89,1.0,550.21,545.02,546.75,306.0,303.0,304.0
patch_57_10.png,67.08,67.18,1.0,824.59,578.37,582.99,458.0,321.0,324.0
patch_58_84.png,68.56,69.0,1.0,497.54,506.47,507.78,276.0,281.0,282.0
patch_47_11.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_76_14.png,88.32,88.2,2.0,2175.02,2303.93,2305.94,1208.0,1279.0,1281.0
patch_19_3.png,46.96,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_42_87.png,63.64,63.25,1.0,839.91,884.06,888.1,467.0,491.0,493.0
patch_30_83.png,87.84,87.74,2.0,1090.48,1097.27,1099.41,606.0,610.0,611.0
patch_93_20.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_49_7.png,39.13,39.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_64_10.png,83.54,83.71,3.0,2763.06,2463.8399999999997,2474.67,1535.0,1369.0,1374.0
patch_90_20.png,80.98,81.66,3.0,1550.91,1404.6899999999998,1418.55,862.0,780.0,787.0
patch_9_49.png,73.04,73.11,3.0,1410.3200000000002,1501.97,1505.7299999999998,783.0,835.0,837.0
patch_60_93.png,70.53,70.06,1.0,399.66,494.35,498.69,222.0,275.0,277.0
patch_48_88.png,81.12,81.01,5.0,2848.7999999999997,3291.3199999999997,3310.54,1584.0,1828.0,1839.0
patch_63_90.png,88.07,88.09,2.0,1191.5,1126.12,1132.6100000000001,662.0,625.0,629.0
patch_30_91.png,82.06,81.89,9.0,4405.9,4784.0700000000015,4803.55,2446.0,2658.0,2669.0
patch_15_51.png,89.06,89.12,1.0,480.93,474.0,474.29,267.0,263.0,263.0
patch_57_91.png,76.9,76.94,1.0,752.86,653.42,653.7,418.0,363.0,363.0
patch_43_82.png,94.48,94.44,1.0,1064.77,1046.45,1046.87,592.0,581.0,582.0
patch_29_88.png,49.84,50.1,2.0,525.39,392.17,394.63,292.0,218.0,219.0
patch_29_89.png,79.62,79.86,5.0,3287.5699999999997,3333.77,3349.5099999999998,1825.0,1852.0,1860.0
patch_7_47.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_27_85.png,76.47,76.73,3.0,1379.8700000000001,1319.11,1324.89,767.0,732.0,737.0
patch_26_83.png,77.58,76.75,1.0,617.63,719.24,735.98,343.0,400.0,409.0
patch_8_49.png,63.11,62.99,2.0,580.6800000000001,631.34,631.77,322.0,351.0,351.0
patch_62_91.png,65.65,65.88,3.0,998.9699999999999,815.94,821.4300000000001,555.0,454.0,457.0
patch_4_85.png,93.55,93.68,1.0,651.11,654.85,655.87,362.0,364.0,364.0
patch_26_93.png,80.68,80.64,2.0,1059.15,1056.8400000000001,1062.18,589.0,587.0,590.0
patch_64_94.png,46.05,46.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_55_85.png,76.72,76.7,1.0,701.04,715.2,715.78,389.0,397.0,398.0
patch_81_14.png,84.11,83.97,3.0,1460.69,1472.83,1473.6799999999998,812.0,818.0,818.0
patch_15_52.png,43.72,43.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_5_81.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_56_87.png,83.06,83.02,1.0,395.05,408.33,409.63,219.0,227.0,228.0
patch_23_15.png,80.06,80.02,3.0,3147.57,3542.7799999999997,3545.8099999999995,1749.0,1968.0,1970.0
patch_46_78.png,79.39,79.22,1.0,723.28,706.39,707.12,402.0,392.0,393.0
patch_68_74.png,63.42,63.7,2.0,695.1300000000001,777.99,785.49,386.0,432.0,437.0
patch_84_25.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_31_103.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_45_85.png,49.95,49.98,1.0,225.46,344.82,345.69,125.0,192.0,192.0
patch_34_91.png,65.98,66.08,1.0,247.82,254.17,255.48,138.0,141.0,142.0
patch_28_4.png,81.99,82.21,2.0,1156.1299999999999,1014.41,1018.02,642.0,563.0,565.0
patch_31_96.png,60.23,60.15,2.0,881.62,1150.81,1156.1499999999999,490.0,640.0,642.0
patch_2_42.png,74.23,73.84,2.0,819.99,761.96,766.15,456.0,423.0,426.0
patch_8_61.png,78.19,78.02,5.0,3332.0200000000004,3804.14,3815.1299999999997,1851.0,2114.0,2120.0
patch_10_44.png,82.25,82.23,2.0,676.6600000000001,642.02,642.73,376.0,356.0,357.0
patch_92_1.png,75.5,75.51,1.0,290.41,271.79,272.22,161.0,151.0,151.0
patch_42_73.png,76.94,76.58,1.0,506.77,645.92,647.5,282.0,359.0,360.0
patch_39_9.png,82.76,82.54,3.0,1003.2900000000001,1008.91,1010.3499999999999,558.0,561.0,561.0
patch_36_90.png,51.19,50.98,3.0,991.47,1117.31,1198.1399999999999,551.0,621.0,666.0
patch_33_95.png,23.26,24.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_28_88.png,75.33,75.19,2.0,600.72,644.75,648.37,333.0,359.0,360.0
patch_30_87.png,81.25,81.12,6.0,2532.99,2755.84,2769.26,1407.0,1531.0,1539.0
patch_59_98.png,88.91,88.81,1.0,219.83,215.49,215.64,122.0,120.0,120.0
patch_21_5.png,81.42,81.46,1.0,279.88,283.19,284.77,155.0,157.0,158.0
patch_70_16.png,1.21,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_58_96.png,69.41,70.38,3.0,1268.73,1141.87,1164.95,705.0,634.0,647.0
patch_64_101.png,1.1,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_30_85.png,73.33,73.67,5.0,1991.7099999999998,2228.15,2237.09,1107.0,1237.0,1243.0
patch_57_94.png,61.97,61.66,3.0,1474.55,1372.95,1379.72,819.0,763.0,766.0
patch_5_43.png,80.01,79.89,4.0,1896.1499999999999,2013.9200000000003,2020.7199999999998,1053.0,1120.0,1123.0
patch_14_54.png,91.94,91.88,1.0,700.9,760.23,760.51,389.0,422.0,423.0
patch_25_90.png,76.31,76.39,4.0,2698.25,2587.41,2594.6099999999997,1499.0,1437.0,1441.0
patch_41_86.png,37.47,37.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_3_68.png,70.22,69.88,2.0,808.4300000000001,935.89,943.39,449.0,520.0,524.0
patch_24_104.png,70.0,69.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_6_81.png,77.86,78.17,3.0,1512.6499999999999,1422.73,1438.6,840.0,790.0,799.0
patch_31_86.png,60.94,60.88,1.0,292.14,182.44,182.58,162.0,101.0,101.0
patch_33_103.png,70.23,70.24,1.0,430.41,433.73,435.61,239.0,241.0,242.0
patch_67_25.png,48.8,48.43,2.0,637.97,396.90999999999997,399.52,355.0,221.0,222.0
patch_44_84.png,79.2,78.96,3.0,1241.45,1286.06,1287.21,690.0,715.0,715.0
patch_27_89.png,52.05,52.03,1.0,288.96,176.96,177.96,161.0,98.0,99.0
patch_24_86.png,67.69,67.49,3.0,1646.1599999999999,1853.5700000000002,1860.09,915.0,1029.0,1033.0
patch_34_92.png,77.45,77.32,4.0,2481.45,3080.1699999999996,3105.71,1378.0,1711.0,1725.0
patch_57_9.png,80.6,80.62,2.0,811.32,737.4200000000001,739.87,450.0,410.0,411.0
patch_34_5.png,73.88,74.29,2.0,1294.42,1192.52,1213.15,719.0,662.0,674.0
patch_26_94.png,73.94,73.82,2.0,1103.1799999999998,1126.56,1132.18,613.0,625.0,629.0
patch_82_76.png,78.82,78.75,1.0,292.86,236.85,237.15,163.0,132.0,132.0
patch_33_93.png,74.7,74.64,4.0,1275.79,1591.4599999999998,1600.97,709.0,885.0,889.0
patch_46_11.png,83.61,83.63,2.0,1472.24,1517.58,1520.02,818.0,843.0,844.0
patch_75_22.png,93.41,93.3,1.0,699.75,664.82,665.55,389.0,369.0,370.0
patch_22_1.png,92.66,92.64,1.0,1056.11,1051.35,1051.49,587.0,584.0,584.0
patch_7_54.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_80_26.png,69.99,70.39,1.0,332.27,234.69,236.0,185.0,130.0,131.0
patch_26_82.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_9_2.png,65.85,65.68,1.0,308.44,454.51,458.7,171.0,253.0,255.0
patch_33_107.png,68.94,68.95,1.0,555.85,449.62,449.76,309.0,250.0,250.0
patch_77_18.png,67.65,67.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
patch_15_53.png,36.14,35.93,1.0,624.12,605.5,610.4,347.0,336.0,339.0
patch_5_82.png,83.03,82.91,2.0,1026.53,1104.76,1107.06,571.0,613.0,615.0
patch_0_1.png,76.29,76.16,2.0,1461.57,1611.81,1616.73,812.0,895.0,898.0
patch_41_81.png,87.46,87.3,5.0,3755.51,3962.6499999999996,3977.0800000000004,2087.0,2201.0,2209.0
patch_8_39.png,74.56,74.55,3.0,1725.2800000000002,1872.9299999999998,1873.81,958.0,1040.0,1041.0
patch_7_60.png,46.24,46.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
