Image name,IoU - raw result [%],IoU - post-processed result [%],Objects (> 1% total area),Roof area [m^2] - mapped,Roof area [m^2] - raw result,Roof area [m^2] - post-processed result,Solar panels estimation - mapped,Solar panels estimation - raw result,Solar panels estimation - post-processed result
patch_32_94.png,86.37,86.46,6,3323.9700000000003,3038.2899999999995,3070.49,1847,1689,1706
patch_48_74.png,77.81,78.53,1,261.1,202.94,205.25,145,113,114
patch_24_5.png,78.33,78.02,1,477.03,495.37,519.18,265,275,288
patch_5_83.png,93.71,93.71,1,582.68,593.08,593.08,324,329,329
patch_17_52.png,76.22,76.13,3,1147.06,1394.5900000000001,1401.0700000000002,636,775,779
patch_16_2.png,38.19,37.96,0,0.0,0.0,0.0,0,0,0
patch_69_21.png,86.9,87.0,1,906.88,865.45,866.6,504,481,481
patch_21_97.png,56.18,56.67,1,298.2,213.91,216.51,166,119,120
patch_49_8.png,78.95,79.12,2,1020.48,956.6700000000001,957.8199999999999,567,532,532
patch_34_6.png,58.7,58.27,0,0.0,0.0,0.0,0,0,0
patch_27_88.png,78.88,78.88,7,3135.3,3012.6099999999997,3023.29,1743,1674,1681
patch_10_43.png,63.77,63.79,2,917.99,619.79,620.21,510,344,344
patch_50_80.png,45.0,51.06,0,0.0,0.0,0.0,0,0,0
patch_16_54.png,85.86,86.0,3,2188.73,1983.1800000000003,1987.97,1216,1102,1104
patch_65_99.png,88.39,88.34,1,718.22,719.38,720.82,399,400,400
patch_4_82.png,46.67,46.67,0,0.0,0.0,0.0,0,0,0
patch_4_62.png,26.39,26.26,1,242.93,333.42,336.88,135,185,187
patch_56_93.png,76.68,76.85,1,442.97,373.11,373.98,246,207,208
patch_0_42.png,58.09,58.07,0,0.0,0.0,0.0,0,0,0
patch_7_24.png,91.27,91.41,1,593.23,551.81,552.52,330,307,307
patch_26_18.png,42.43,42.74,1,591.92,121.24,122.69,329,67,68
patch_25_18.png,81.49,81.66,2,1517.86,1436.02,1438.6100000000001,843,797,799
patch_38_8.png,78.65,78.54,1,310.9,277.42,278.28,173,154,155
patch_67_11.png,90.77,90.84,1,1120.64,928.09,1223.84,623,516,680
patch_43_7.png,76.11,76.04,1,448.89,585.72,586.3,249,325,326
patch_23_5.png,74.43,74.37,3,1348.54,1076.91,1082.96,750,599,602
patch_13_49.png,57.77,57.77,1,320.57,463.9,463.9,178,258,258
patch_65_102.png,73.43,74.29,3,2081.49,1652.9499999999998,1659.45,1156,918,922
patch_60_98.png,83.12,83.41,2,2404.95,2410.44,2416.65,1336,1339,1343
patch_28_1.png,53.15,53.29,0,0.0,0.0,0.0,0,0,0
patch_52_85.png,88.53,88.3,1,392.16,379.76,381.19,218,211,212
patch_49_79.png,94.51,94.6,3,5465.92,5248.85,5260.8099999999995,3036,2916,2923
patch_0_2.png,71.57,71.98,2,2418.2200000000003,2030.11,2058.68,1343,1128,1144
patch_6_50.png,18.53,19.76,1,325.76,206.25,211.02,181,115,117
patch_8_62.png,65.54,65.4,1,376.43,366.33,366.33,209,204,204
patch_35_88.png,78.47,78.41,3,1966.76,1895.7300000000002,1904.38,1092,1054,1058
patch_23_87.png,72.88,72.79,4,1472.09,1691.34,1702.76,818,940,945
patch_68_76.png,0.0,0.0,0,0.0,0.0,0.0,0,0,0
patch_8_50.png,45.22,45.05,0,0.0,0.0,0.0,0,0,0
patch_28_93.png,68.64,68.74,6,2668.65,2016.8500000000001,2025.79,1483,1120,1125
patch_87_18.png,43.4,43.85,1,600.16,252.16,255.77,333,140,142
patch_12_53.png,85.06,85.13,2,1165.25,1103.03,1105.34,648,613,614
patch_50_79.png,90.33,90.38,1,620.51,558.74,558.88,345,310,310
patch_81_15.png,81.87,82.19,1,623.54,527.56,530.72,346,293,295
